Todd Gurley,2,1,2,2,2,2
Melvin Gordon,4,4,5,1,1,3
Amari Cooper,3,3,1,3,3,1
Kevin White,1,2,3,8,5,6
DeVante Parker,6,5,4,4,8,7
Tevin Coleman,11,7,9,9,11,5
Jaelen Strong,7,6,6,10,9,9
Dorial Green-Beckham,5,9,11,11,6,10
Devin Funchess,13,8,10,5,10,12
Ameer Abdullah,14,15,8,6,4,11
TJ Yeldon,10,10,13,15,14,8
Marcus Mariota,,20,17,7,7,14
Jay Ajayi,8,12,7,14,15,13
Duke Johnson,16,11,14,12,18,
Nelson Agholor,9,13,15,19,,
Sammie Coats,18,17,16,13,,
Devin Smith,,16,12,16,,
Mike Davis,,21,24,18,13,
Maxx Williams,15,14,21,22,16,
Rashad Greene,,31,25,17,12,
Ty Montgomery,,,26,21,,
David Johnson,12,19,23,35,,
Stefon Diggs,,23,18,20,,
Phillip Dorsett,,18,19,34,,
Nick O'Leary,,,24,24,,
Jameis Winston,17,27,20,23,,
David Cobb,,22,22,27,,
Vince Mayle,,26,,28,,
Josh Robinson,,24,30,32,,
Justin Hardy,,25,,30,,
Davante Davis,,,,29,,
Jamison Crowder,,30,,,,
Javorius Allen,,35,,26,,
Jeremy Langford,,28,27,25,,
Tyler Lockett,,29,28,33,,
Terrel Watson,,32,,,,
Deontay Greenbury,,,,31,,
Breshad Perriman,,33,,,,
Jessie James,,34,,,,
DeAndre Smelter,,,,36,,
Kasen Williams,,,,37,,
Cameron Artis-Payne,,36,,38,,
Bryce Petty,,,,39,,
Deon Long,,,,40,,
Brett Hundley,,,,41,,
Karlos Williams,,,29,,,
